idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
10,1.00,1.00,1.00,1.00,0.91,0.91,0.56,1.00,1.00,1.00,0.98,0.53,1.00,1.00,1.00,1.00,1.00,1.00,0.26,1.00,1.00,0.98,1.00,0.26,1.00,1.00,1.00,1.00,0.68,0.68,1.00,1.00,1.00,0.98,0.99,0.97
11,0.74,1.00,1.00,0.74,1.00,0.71,0.34,0.37,1.00,0.63,1.00,0.29,1.00,1.00,1.00,0.89,1.00,0.89,0.26,0.65,1.00,0.69,1.00,0.26,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.16,1.00,0.16
12,1.00,0.97,1.00,1.00,1.00,0.97,0.60,0.00,1.00,0.58,1.00,0.00,1.00,0.44,1.00,0.70,1.00,0.44,0.52,0.11,1.00,0.17,1.00,0.08,1.00,0.23,1.00,0.29,1.00,0.15,1.00,0.08,1.00,0.06,1.00,0.06
13,0.83,1.00,1.00,1.00,1.00,0.83,0.26,1.00,1.00,0.53,1.00,0.26,1.00,0.44,1.00,0.72,1.00,0.44,0.54,0.11,1.00,0.46,1.00,0.11,1.00,0.11,0.89,0.72,0.87,0.11,1.00,0.08,1.00,0.08,1.00,0.07
14,0.76,1.00,1.00,1.00,1.00,0.76,0.11,0.99,1.00,1.00,1.00,0.11,1.00,1.00,1.00,0.87,1.00,0.87,0.22,1.00,1.00,0.39,1.00,0.22,1.00,1.00,0.77,1.00,0.06,0.06,1.00,1.00,0.96,0.54,1.00,0.53
15,1.00,1.00,1.00,1.00,1.00,1.00,0.36,1.00,1.00,0.99,0.99,0.35,1.00,1.00,1.00,0.99,1.00,0.99,0.68,0.61,1.00,0.85,1.00,0.47,1.00,0.99,1.00,1.00,0.52,0.51,1.00,1.00,1.00,1.00,0.97,0.96
16,1.00,1.00,1.00,1.00,1.00,1.00,0.66,1.00,1.00,1.00,1.00,0.66,1.00,1.00,1.00,1.00,1.00,1.00,0.71,0.97,1.00,0.96,1.00,0.71,1.00,0.96,0.66,1.00,0.09,0.08,1.00,1.00,0.29,0.99,0.81,0.25
17,1.00,1.00,1.00,0.93,1.00,0.93,0.32,1.00,1.00,1.00,1.00,0.32,1.00,1.00,1.00,0.99,1.00,0.99,0.42,0.89,1.00,0.93,1.00,0.41,1.00,1.00,1.00,0.97,0.78,0.76,0.99,1.00,1.00,1.00,0.97,0.96
18,1.00,1.00,1.00,1.00,1.00,1.00,0.65,1.00,1.00,0.43,1.00,0.16,1.00,0.44,1.00,0.55,1.00,0.44,0.58,0.11,1.00,0.37,1.00,0.10,1.00,0.32,0.33,0.91,0.32,0.11,0.99,0.08,1.00,0.12,1.00,0.07
19,1.00,1.00,1.00,1.00,0.94,0.94,0.56,1.00,1.00,1.00,0.99,0.55,1.00,1.00,1.00,0.89,1.00,0.89,0.23,0.97,1.00,0.71,1.00,0.23,1.00,1.00,0.26,1.00,0.02,0.02,1.00,0.94,0.53,0.87,0.81,0.35
20,1.00,1.00,1.00,1.00,0.96,0.96,0.74,1.00,1.00,1.00,0.97,0.71,1.00,1.00,1.00,0.81,1.00,0.81,0.40,0.44,1.00,0.69,1.00,0.33,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.86,0.11,0.86,0.75,0.05
21,1.00,1.00,1.00,1.00,1.00,1.00,0.55,1.00,1.00,1.00,0.99,0.54,1.00,1.00,1.00,1.00,1.00,1.00,0.26,1.00,1.00,0.99,1.00,0.26,1.00,1.00,1.00,1.00,0.88,0.88,1.00,1.00,1.00,1.00,0.99,0.98
22,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,1.00,1.00,0.25,1.00,1.00,1.00,1.00,1.00,1.00,0.23,1.00,1.00,0.98,1.00,0.23,1.00,1.00,0.64,1.00,0.23,0.23,1.00,1.00,0.41,1.00,0.94,0.39
23,1.00,1.00,1.00,1.00,0.94,0.94,0.54,1.00,1.00,0.69,0.99,0.53,1.00,1.00,1.00,0.89,1.00,0.89,0.23,1.00,1.00,0.77,1.00,0.23,1.00,1.00,1.00,1.00,0.72,0.72,0.82,1.00,0.44,0.99,0.79,0.40
24,1.00,1.00,1.00,1.00,0.99,0.99,0.31,1.00,1.00,1.00,0.99,0.30,1.00,1.00,1.00,1.00,1.00,1.00,0.49,0.48,1.00,0.81,1.00,0.35,1.00,0.99,1.00,1.00,0.76,0.75,1.00,0.98,1.00,0.96,0.99,0.95
25,1.00,1.00,1.00,1.00,0.87,0.87,0.62,1.00,1.00,0.92,0.97,0.58,1.00,0.44,1.00,0.64,1.00,0.44,0.57,0.22,1.00,0.55,1.00,0.22,1.00,1.00,0.04,1.00,0.00,0.00,1.00,0.99,0.61,0.98,0.89,0.58
26,1.00,1.00,1.00,1.00,1.00,1.00,0.54,1.00,1.00,1.00,0.99,0.54,1.00,1.00,1.00,1.00,1.00,1.00,0.34,0.99,1.00,0.97,1.00,0.34,1.00,0.99,1.00,0.87,0.49,0.37,1.00,1.00,1.00,0.98,1.00,0.98
27,1.00,1.00,1.00,1.00,1.00,1.00,0.11,1.00,1.00,0.91,1.00,0.11,1.00,1.00,1.00,0.81,1.00,0.81,0.25,0.75,1.00,0.72,1.00,0.25,1.00,1.00,0.46,1.00,0.41,0.39,1.00,1.00,1.00,0.97,1.00,0.97
28,1.00,1.00,1.00,1.00,0.99,0.99,0.41,1.00,1.00,1.00,0.99,0.40,1.00,0.76,1.00,0.96,1.00,0.76,0.46,0.61,1.00,0.86,1.00,0.39,1.00,1.00,0.86,0.82,0.69,0.55,0.99,0.97,1.00,0.88,1.00,0.87
29,1.00,1.00,1.00,1.00,0.98,0.98,0.82,1.00,1.00,1.00,0.92,0.74,1.00,1.00,1.00,1.00,1.00,1.00,0.33,0.99,1.00,0.97,1.00,0.33,1.00,1.00,1.00,1.00,0.73,0.73,1.00,1.00,1.00,1.00,0.99,0.99
30,1.00,1.00,1.00,1.00,0.87,0.87,0.88,1.00,1.00,1.00,0.93,0.81,1.00,0.77,1.00,0.91,1.00,0.77,0.66,0.36,1.00,0.44,1.00,0.25,1.00,1.00,0.96,0.98,0.81,0.79,1.00,1.00,1.00,0.93,0.96,0.90
31,1.00,1.00,1.00,1.00,0.96,0.96,0.52,1.00,1.00,1.00,0.98,0.50,1.00,0.75,1.00,0.93,1.00,0.75,0.48,0.71,1.00,0.80,1.00,0.40,1.00,1.00,1.00,1.00,0.85,0.85,1.00,0.94,1.00,0.96,1.00,0.93
32,1.00,1.00,1.00,0.01,1.00,0.01,0.10,1.00,1.00,1.00,1.00,0.10,1.00,1.00,1.00,0.89,1.00,0.89,0.22,1.00,1.00,0.79,1.00,0.22,1.00,0.11,0.89,0.94,0.97,0.11,1.00,0.52,1.00,0.95,1.00,0.51
33,1.00,1.00,1.00,1.00,0.99,0.99,0.77,1.00,1.00,1.00,0.98,0.74,1.00,0.71,1.00,0.98,1.00,0.71,0.64,0.39,1.00,0.82,1.00,0.33,1.00,1.00,1.00,1.00,0.99,0.99,1.00,0.98,1.00,0.97,0.99,0.96
34,1.00,1.00,1.00,1.00,0.94,0.94,0.86,1.00,1.00,1.00,0.98,0.84,1.00,1.00,1.00,1.00,1.00,1.00,0.30,0.99,1.00,0.97,1.00,0.30,1.00,1.00,0.98,1.00,0.63,0.63,1.00,0.99,1.00,0.99,0.99,0.98
35,0.97,1.00,1.00,1.00,1.00,0.97,0.21,0.68,1.00,0.97,1.00,0.21,1.00,1.00,1.00,1.00,1.00,1.00,0.23,1.00,1.00,0.97,1.00,0.23,1.00,1.00,0.20,1.00,0.18,0.18,0.72,1.00,0.98,1.00,0.99,0.70
